Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
RJio,Indoor,4G,1,Poor Voice Quality,22.2449776,88.4625509,West Bengal
RJio,Indoor,4G,1,Poor Voice Quality,22.24505758,88.46256561,West Bengal
Vodafone,Indoor,2G,1,Poor Voice Quality,22.24498084,88.46255442,West Bengal
Airtel,Indoor,4G,3,Poor Voice Quality,18.0072299,79.5468435,Telangana
Vodafone,Indoor,4G,2,Poor Voice Quality,25.004181,88.143111,West Bengal
Airtel,Outdoor,Unknown,4,Satisfactory,13.9367049,75.54822825,Karnataka
RJio,Outdoor,4G,5,Satisfactory,19.0702526,72.9977099,Maharashtra
Idea,Indoor,4G,4,Satisfactory,31.63073884,74.83482292,Punjab
Airtel,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
Vodafone,Indoor,2G,3,Satisfactory,26.9486989,77.9651205,Chhattisgarh
Vodafone,Indoor,2G,3,Call Dropped,26.9486989,77.9651205,Chhattisgarh
Vodafone,Outdoor,4G,3,Satisfactory,26.9486989,77.9651205,Chhattisgarh
Vodafone,Outdoor,4G,3,Satisfactory,26.9511196,78.0143657,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,22.59273919,88.29745549,West Bengal
BSNL,Indoor,Unknown,4,Satisfactory,23.578655,87.17844333,West Bengal
BSNL,Travelling,Unknown,4,Satisfactory,23.57795,87.17865833,West Bengal
BSNL,Outdoor,Unknown,3,Poor Voice Quality,23.57795,87.17865833,West Bengal
BSNL,Outdoor,Unknown,4,Satisfactory,19.96218333,85.81842667,Odisha
Vodafone,Indoor,3G,4,Satisfactory,-1,-1,NA
Airtel,Outdoor,4G,5,Satisfactory,17.729672,83.2935827,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
BSNL,Indoor,3G,3,Satisfactory,13.13841128,80.03740802,Tamil Nadu
BSNL,Indoor,3G,4,Satisfactory,13.13841128,80.03740802,Tamil Nadu
BSNL,Indoor,3G,3,Satisfactory,13.13841128,80.03740802,Tamil Nadu
BSNL,Indoor,3G,3,Satisfactory,13.13853295,80.03749476,Tamil Nadu
Vodafone,Indoor,4G,4,Satisfactory,22.6355996,88.4402047,West Bengal
Vodafone,Indoor,4G,4,Satisfactory,22.6355996,88.4402047,West Bengal
Vodafone,Indoor,4G,4,Satisfactory,22.6355996,88.4402047,West Bengal
BSNL,Indoor,Unknown,5,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
Vodafone,Indoor,4G,4,Satisfactory,22.635586,88.4402576,West Bengal
RJio,Indoor,4G,1,Poor Voice Quality,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,22.4708045,88.404749,West Bengal
Vodafone,Indoor,Unknown,3,Satisfactory,-1,-1,NA
Airtel,Indoor,Unknown,4,Satisfactory,13.93674423,75.5482373,Karnataka
BSNL,Indoor,Unknown,5,Satisfactory,17.66045358,83.167678,Andhra Pradesh
Vodafone,Indoor,4G,4,Satisfactory,22.63573038,88.43982038,West Bengal
Idea,Indoor,Unknown,4,Satisfactory,-1,-1,NA
BSNL,Outdoor,Unknown,4,Satisfactory,19.96218333,85.81842667,Odisha
Airtel,Outdoor,4G,3,Poor Voice Quality,18.005959,79.5454161,Telangana
Airtel,Indoor,4G,5,Satisfactory,12.34333825,76.61861925,Karnataka
Airtel,Indoor,4G,5,Satisfactory,12.34331504,76.61868326,Karnataka
Airtel,Indoor,Unknown,5,Satisfactory,13.11321934,80.23413877,Tamil Nadu
Airtel,Indoor,Unknown,5,Satisfactory,13.11325192,80.23411042,Tamil Nadu
Airtel,Indoor,Unknown,5,Satisfactory,13.11325192,80.23411042,Tamil Nadu
Airtel,Indoor,Unknown,5,Satisfactory,13.11325192,80.23411042,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,13.11325192,80.23411042,Tamil Nadu
Airtel,Indoor,Unknown,5,Satisfactory,13.11325192,80.23411042,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,13.11325192,80.23411042,Tamil Nadu
Airtel,Indoor,Unknown,5,Satisfactory,13.11325192,80.23411042,Tamil Nadu
Airtel,Indoor,Unknown,5,Satisfactory,13.11325192,80.23411042,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,13.11325192,80.23411042,Tamil Nadu
Airtel,Indoor,Unknown,5,Satisfactory,13.11325192,80.23411042,Tamil Nadu
Airtel,Indoor,Unknown,5,Satisfactory,13.11325192,80.23411042,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,13.11325192,80.23411042,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,13.11301641,80.23408247,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,13.11316766,80.23417801,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,13.11316766,80.23417801,Tamil Nadu
Airtel,Indoor,Unknown,5,Satisfactory,13.11316766,80.23417801,Tamil Nadu
Airtel,Indoor,Unknown,5,Satisfactory,13.11316766,80.23417801,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,13.11320683,80.23416029,Tamil Nadu
Airtel,Indoor,Unknown,5,Satisfactory,13.11320683,80.23416029,Tamil Nadu
BSNL,Indoor,Unknown,5,Satisfactory,17.66045358,83.167678,Andhra Pradesh
BSNL,Indoor,Unknown,5,Satisfactory,17.66045358,83.167678,Andhra Pradesh
Vodafone,Indoor,4G,3,Poor Voice Quality,22.63573038,88.43982038,West Bengal
BSNL,Indoor,Unknown,5,Satisfactory,-1,-1,NA
BSNL,Indoor,3G,3,Poor Voice Quality,-1,-1,NA
RJio,Indoor,4G,1,Poor Voice Quality,21.16210704,72.87998523,Gujarat
Airtel,Indoor,4G,5,Satisfactory,26.862555,81.0179396,Uttar Pradesh
Vodafone,Indoor,Unknown,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,3,Satisfactory,22.06342547,75.3997119,Madhya Pradesh
Airtel,Indoor,4G,5,Satisfactory,17.7296745,83.2955887,Andhra Pradesh
Vodafone,Indoor,3G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,23.019895,72.52504333,Gujarat
RJio,Indoor,4G,5,Satisfactory,19.2803781,72.8752888,Maharashtra
BSNL,Indoor,3G,1,Poor Voice Quality,9.248692584,76.61789646,Kerala
Idea,Outdoor,4G,1,Call Dropped,-1,-1,NA
Idea,Indoor,Unknown,1,Call Dropped,-1,-1,NA
BSNL,Indoor,Unknown,5,Satisfactory,17.66045358,83.167678,Andhra Pradesh
BSNL,Indoor,Unknown,5,Satisfactory,17.66045358,83.167678,Andhra Pradesh
Airtel,Indoor,4G,5,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,5,Satisfactory,-1,-1,NA
BSNL,Indoor,Unknown,5,Satisfactory,-1,-1,NA
RJio,Travelling,4G,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,4G,5,Satisfactory,26.12713564,89.46045836,West Bengal
Airtel,Indoor,Unknown,2,Call Dropped,-1,-1,NA
Airtel,Outdoor,4G,3,Poor Voice Quality,18.0072299,79.5468435,Telangana
Vodafone,Indoor,4G,4,Satisfactory,22.63573038,88.43982038,West Bengal
BSNL,Indoor,3G,1,Call Dropped,-1,-1,NA
Airtel,Indoor,Unknown,5,Satisfactory,17.7296071,83.2955898,Andhra Pradesh
RJio,Indoor,4G,4,Satisfactory,28.7100548,77.202118,NCT
BSNL,Indoor,Unknown,4,Satisfactory,19.96218333,85.81842667,Odisha
Airtel,Indoor,4G,2,Poor Voice Quality,22.563,88.40365833,West Bengal
Airtel,Indoor,4G,1,Poor Voice Quality,22.563,88.40365833,West Bengal
BSNL,Indoor,Unknown,4,Satisfactory,19.96218333,85.81842667,Odisha
BSNL,Indoor,Unknown,5,Satisfactory,17.66045358,83.167678,Andhra Pradesh
RJio,Travelling,4G,1,Call Dropped,-1,-1,NA
Airtel,Indoor,4G,5,Satisfactory,12.9096265,77.5852586,Karnataka
Airtel,Indoor,Unknown,4,Satisfactory,17.75985283,83.2217292,Andhra Pradesh
BSNL,Indoor,3G,1,Call Dropped,-1,-1,NA
Vodafone,Indoor,3G,4,Satisfactory,12.94027067,79.1690107,Tamil Nadu
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,4G,3,Poor Voice Quality,18.0072299,79.5468435,Telangana
RJio,Outdoor,4G,1,Call Dropped,15.88497492,80.07089566,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,15.5067368,80.0168531,Andhra Pradesh
Vodafone,Indoor,2G,5,Satisfactory,22.6983651,88.3859896,West Bengal
Airtel,Outdoor,4G,3,Poor Voice Quality,18.0072299,79.5468435,Telangana
Airtel,Outdoor,4G,3,Poor Voice Quality,18.0072299,79.5468435,Telangana
Airtel,Indoor,4G,4,Satisfactory,17.75985283,83.2217292,Andhra Pradesh
MTNL,Indoor,4G,5,Satisfactory,18.9715616,72.8379661,Maharashtra
RJio,Outdoor,4G,1,Poor Voice Quality,-1,-1,NA
RJio,Outdoor,4G,2,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,Unknown,5,Satisfactory,17.7296071,83.2955898,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,5,Satisfactory,26.8625651,81.0179438,Uttar Pradesh
Vodafone,Indoor,Unknown,4,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,1,Call Dropped,26.12724891,89.46051693,West Bengal
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,5,Satisfactory,26.12724891,89.46051693,West Bengal
Airtel,Indoor,4G,5,Satisfactory,26.8625651,81.0179438,Uttar Pradesh
Airtel,Indoor,4G,2,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,4G,3,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,4G,4,Satisfactory,17.75985283,83.2217292,Andhra Pradesh
RJio,Indoor,4G,4,Satisfactory,22.83157543,70.79108605,Gujarat
RJio,Indoor,4G,4,Satisfactory,22.83157543,70.79108605,Gujarat
RJio,Indoor,4G,4,Satisfactory,22.83131543,70.79132879,Gujarat
RJio,Indoor,4G,4,Satisfactory,22.83131543,70.79132879,Gujarat
RJio,Outdoor,4G,4,Satisfactory,22.82689137,70.8623127,Gujarat
RJio,Indoor,4G,4,Satisfactory,22.83157543,70.79108605,Gujarat
RJio,Indoor,4G,4,Satisfactory,22.83157543,70.79108605,Gujarat
RJio,Indoor,4G,4,Satisfactory,22.83131543,70.79132879,Gujarat
RJio,Indoor,4G,4,Satisfactory,22.83131543,70.79132879,Gujarat
RJio,Outdoor,4G,4,Satisfactory,22.82689137,70.8623127,Gujarat
RJio,Outdoor,4G,4,Satisfactory,22.82689137,70.8623127,Gujarat
RJio,Indoor,4G,4,Satisfactory,22.83157543,70.79108605,Gujarat
RJio,Indoor,4G,4,Satisfactory,22.83157543,70.79108605,Gujarat
RJio,Indoor,4G,4,Satisfactory,22.83131543,70.79132879,Gujarat
RJio,Indoor,4G,4,Satisfactory,22.83131543,70.79132879,Gujarat
RJio,Outdoor,4G,4,Satisfactory,22.82689137,70.8623127,Gujarat
RJio,Outdoor,4G,4,Satisfactory,22.82689137,70.8623127,Gujarat
RJio,Indoor,4G,4,Satisfactory,22.83151605,70.79160933,Gujarat
Airtel,Outdoor,4G,3,Poor Voice Quality,18.0075936,79.5485775,Telangana
RJio,Indoor,4G,4,Satisfactory,22.83151605,70.79160933,Gujarat
BSNL,Indoor,Unknown,5,Satisfactory,17.06635269,73.62462483,Maharashtra
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
Airtel,Outdoor,4G,3,Poor Voice Quality,18.0075936,79.5485775,Telangana
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,Unknown,1,Poor Voice Quality,13.09654227,79.15077601,Andhra Pradesh
Airtel,Indoor,4G,1,Poor Voice Quality,13.09218689,79.1530944,Andhra Pradesh
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Idea,Indoor,4G,1,Call Dropped,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
Airtel,Indoor,Unknown,4,Satisfactory,17.75985283,83.2217292,Andhra Pradesh
Vodafone,Indoor,Unknown,5,Satisfactory,17.35034844,78.40900127,Telangana
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Vodafone,Indoor,2G,1,Poor Voice Quality,23.49341453,87.30967102,West Bengal
Vodafone,Indoor,4G,1,Poor Voice Quality,23.49341453,87.30967102,West Bengal
Vodafone,Indoor,4G,1,Poor Voice Quality,23.49341453,87.30967102,West Bengal
Vodafone,Indoor,2G,5,Satisfactory,23.49341453,87.30967102,West Bengal
Airtel,Indoor,4G,5,Satisfactory,26.8625651,81.0179438,Uttar Pradesh
Airtel,Indoor,4G,5,Satisfactory,26.8625651,81.0179438,Uttar Pradesh
Airtel,Indoor,4G,5,Satisfactory,26.8625651,81.0179438,Uttar Pradesh
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,5,Satisfactory,-1,-1,NA
BSNL,Indoor,Unknown,5,Satisfactory,-1,-1,NA
BSNL,Indoor,Unknown,5,Satisfactory,17.61737138,83.18584068,Andhra Pradesh
BSNL,Indoor,Unknown,5,Satisfactory,17.61737138,83.18584068,Andhra Pradesh
Vodafone,Indoor,2G,1,Call Dropped,22.46552167,88.40274998,West Bengal
Airtel,Indoor,2G,5,Satisfactory,-1,-1,NA
Airtel,Indoor,2G,5,Satisfactory,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Indoor,4G,3,Satisfactory,-1,-1,NA
RJio,Travelling,4G,3,Satisfactory,-1,-1,NA
RJio,Indoor,4G,3,Satisfactory,-1,-1,NA
BSNL,Indoor,Unknown,5,Satisfactory,17.61737138,83.18584068,Andhra Pradesh
BSNL,Indoor,Unknown,5,Satisfactory,17.61737138,83.18584068,Andhra Pradesh
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,3,Poor Voice Quality,18.0075936,79.5485775,Telangana
RJio,Outdoor,4G,1,Poor Voice Quality,28.89732186,76.57774516,Haryana
RJio,Outdoor,4G,1,Poor Voice Quality,28.89732186,76.57774516,Haryana
Airtel,Indoor,4G,1,Call Dropped,-1,-1,NA
Airtel,Indoor,2G,2,Poor Voice Quality,12.9910577,74.84125275,Karnataka
Idea,Indoor,4G,5,Satisfactory,31.6308376,74.8349456,Punjab
BSNL,Indoor,Unknown,4,Satisfactory,23.578585,87.17896167,West Bengal
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
Airtel,Indoor,Unknown,5,Satisfactory,13.11305145,80.23412886,Tamil Nadu
Airtel,Indoor,Unknown,5,Satisfactory,13.11305145,80.23412886,Tamil Nadu
Idea,Indoor,4G,5,Satisfactory,31.6308348,74.8349449,Punjab
Idea,Indoor,4G,4,Satisfactory,31.630852,74.834944,Punjab
Airtel,Indoor,4G,5,Satisfactory,26.12775228,89.46064007,West Bengal
Idea,Indoor,4G,4,Satisfactory,31.6307698,74.8349477,Punjab
BSNL,Indoor,3G,4,Satisfactory,13.13835242,80.03743307,Tamil Nadu
RJio,Outdoor,4G,3,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,3,Poor Voice Quality,18.0076317,79.54928,Telangana
Idea,Indoor,4G,5,Satisfactory,31.6307698,74.8349477,Punjab
Idea,Outdoor,Unknown,4,Satisfactory,-1,-1,NA
RJio,Travelling,4G,1,Call Dropped,22.86845501,88.34808908,West Bengal
RJio,Indoor,4G,1,Poor Voice Quality,28.89776166,76.57780399,Haryana
RJio,Indoor,4G,1,Poor Voice Quality,28.89776166,76.57780399,Haryana
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
BSNL,Indoor,2G,5,Satisfactory,17.307622,78.4340252,Telangana
BSNL,Indoor,Unknown,5,Satisfactory,23.578585,87.17896167,West Bengal
BSNL,Indoor,3G,1,Call Dropped,-1,-1,NA
Airtel,Outdoor,4G,3,Poor Voice Quality,18.0075936,79.5485775,Telangana
BSNL,Indoor,3G,1,Call Dropped,-1,-1,NA
Airtel,Indoor,4G,4,Satisfactory,11.0217206,76.9453936,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,11.0217958,76.9453914,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,11.0217958,76.9453914,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,26.8627564,81.0180721,Uttar Pradesh
Airtel,Outdoor,4G,3,Poor Voice Quality,18.0066915,79.5473845,Telangana
BSNL,Indoor,3G,1,Call Dropped,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
Vodafone,Indoor,2G,3,Poor Voice Quality,23.578585,87.17896167,West Bengal
Airtel,Indoor,4G,5,Satisfactory,11.0217958,76.9453914,Tamil Nadu
Airtel,Indoor,4G,5,Satisfactory,26.8625651,81.0179438,Uttar Pradesh
Airtel,Indoor,4G,4,Satisfactory,13.43569455,79.95588522,Tamil Nadu
Idea,Travelling,3G,5,Satisfactory,31.505343,76.66828402,Himachal Pradesh
Airtel,Outdoor,4G,4,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,1,Poor Voice Quality,-1,-1,NA
Airtel,Outdoor,4G,3,Poor Voice Quality,18.0072299,79.5468435,Telangana
RJio,Indoor,4G,1,Call Dropped,19.15682113,72.93972406,Maharashtra
BSNL,Indoor,Unknown,4,Satisfactory,19.96218333,85.81842667,Odisha
BSNL,Indoor,Unknown,4,Satisfactory,19.96218333,85.81842667,Odisha
BSNL,Outdoor,Unknown,4,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,5,Satisfactory,17.41302833,78.55757,Telangana
RJio,Indoor,4G,1,Poor Voice Quality,21.17336604,72.86907261,Gujarat
Airtel,Outdoor,4G,3,Poor Voice Quality,18.0076317,79.54928,Telangana
RJio,Indoor,4G,3,Satisfactory,22.0625222,75.39995975,Madhya Pradesh
Airtel,Outdoor,4G,1,Poor Voice Quality,19.28334944,72.86980357,Maharashtra
RJio,Indoor,4G,1,Poor Voice Quality,26.3117676,89.4508094,West Bengal
Vodafone,Indoor,4G,1,Poor Voice Quality,22.63573038,88.43982038,West Bengal
Airtel,Outdoor,4G,5,Satisfactory,12.8804139,77.6937809,Karnataka
Airtel,Indoor,Unknown,1,Poor Voice Quality,28.4944881,77.0947829,Haryana
Airtel,Indoor,Unknown,1,Poor Voice Quality,28.4944827,77.094767,Haryana
Airtel,Indoor,Unknown,1,Poor Voice Quality,28.4944976,77.0946976,Haryana
Airtel,Indoor,Unknown,1,Poor Voice Quality,28.4944804,77.094764,Haryana
Airtel,Outdoor,Unknown,1,Call Dropped,28.4945307,77.0946876,Haryana
Airtel,Outdoor,Unknown,1,Poor Voice Quality,28.4944778,77.0947407,Haryana
Airtel,Indoor,4G,3,Satisfactory,28.4945734,77.0946547,Haryana
Airtel,Indoor,4G,3,Satisfactory,28.494469,77.0947575,Haryana
Airtel,Indoor,4G,3,Satisfactory,28.494469,77.0947575,Haryana
Airtel,Indoor,4G,3,Poor Voice Quality,28.494469,77.0947575,Haryana
Airtel,Indoor,Unknown,1,Poor Voice Quality,28.4944538,77.0947802,Haryana
Airtel,Indoor,Unknown,1,Poor Voice Quality,28.494481,77.0947493,Haryana
Airtel,Indoor,Unknown,1,Poor Voice Quality,28.4944693,77.0947812,Haryana
Airtel,Indoor,Unknown,1,Poor Voice Quality,28.4944834,77.094743,Haryana
Airtel,Indoor,Unknown,1,Poor Voice Quality,28.4945573,77.0946008,Haryana
RJio,Outdoor,4G,4,Satisfactory,22.4805878,88.4056038,West Bengal
Vodafone,Indoor,2G,5,Satisfactory,22.6954805,88.3953893,West Bengal
Vodafone,Indoor,2G,5,Satisfactory,22.6984168,88.3911445,West Bengal
Vodafone,Indoor,2G,5,Satisfactory,22.6954571,88.3978193,West Bengal
Airtel,Indoor,4G,3,Poor Voice Quality,18.0075936,79.5485775,Telangana
Vodafone,Indoor,4G,2,Call Dropped,23.4933594,87.3096718,West Bengal
Vodafone,Indoor,4G,4,Satisfactory,23.4933594,87.3096718,West Bengal
Vodafone,Indoor,4G,1,Poor Voice Quality,23.4933601,87.3096682,West Bengal
RJio,Indoor,4G,3,Satisfactory,22.06323319,75.39969052,Madhya Pradesh
Idea,Indoor,4G,3,Satisfactory,31.6307698,74.8349477,Punjab
Idea,Indoor,4G,4,Satisfactory,31.6308256,74.8349408,Punjab
Idea,Indoor,4G,4,Satisfactory,31.6308256,74.8349408,Punjab
Airtel,Indoor,4G,5,Satisfactory,26.12736053,89.46055184,West Bengal
Vodafone,Indoor,3G,1,Poor Voice Quality,19.28338636,72.87010388,Maharashtra
Vodafone,Indoor,3G,1,Poor Voice Quality,19.28345894,72.8698854,Maharashtra
Vodafone,Indoor,3G,1,Poor Voice Quality,19.2837455,72.86981849,Maharashtra
Vodafone,Indoor,4G,1,Poor Voice Quality,19.2837455,72.86981849,Maharashtra
Idea,Indoor,4G,4,Satisfactory,31.6308256,74.8349408,Punjab
Airtel,Indoor,4G,4,Satisfactory,28.88874871,76.60732068,Haryana
Airtel,Indoor,4G,5,Satisfactory,26.12736053,89.46055184,West Bengal
Airtel,Indoor,4G,5,Satisfactory,26.12736053,89.46055184,West Bengal
RJio,Indoor,4G,3,Satisfactory,22.06375857,75.39937268,Madhya Pradesh
RJio,Indoor,4G,3,Satisfactory,22.06340137,75.39963772,Madhya Pradesh
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
RJio,Outdoor,Unknown,1,Poor Voice Quality,20.91324496,70.36494796,Gujarat
Airtel,Indoor,4G,5,Satisfactory,26.12736053,89.46055184,West Bengal
Airtel,Indoor,4G,1,Poor Voice Quality,26.12736053,89.46055184,West Bengal
Airtel,Indoor,Unknown,5,Satisfactory,13.11321123,80.23405495,Tamil Nadu
Airtel,Indoor,4G,3,Poor Voice Quality,18.0076317,79.54928,Telangana
Airtel,Indoor,Unknown,4,Satisfactory,13.0723736,77.6504895,Karnataka
BSNL,Indoor,Unknown,4,Satisfactory,23.578585,87.17896167,West Bengal
BSNL,Indoor,Unknown,4,Satisfactory,23.578585,87.17896167,West Bengal
Airtel,Indoor,4G,3,Poor Voice Quality,18.0075936,79.5485775,Telangana
Idea,Indoor,4G,1,Poor Voice Quality,31.6308168,74.8349465,Punjab
Vodafone,Indoor,Unknown,4,Satisfactory,12.94037159,79.16887322,Tamil Nadu
BSNL,Indoor,3G,2,Poor Voice Quality,13.13837987,80.03754972,Tamil Nadu
Airtel,Indoor,4G,3,Poor Voice Quality,18.0075936,79.5485775,Telangana
BSNL,Indoor,3G,4,Satisfactory,13.13838265,80.03760506,Tamil Nadu
BSNL,Indoor,3G,4,Satisfactory,13.13853295,80.03749476,Tamil Nadu
BSNL,Indoor,3G,4,Satisfactory,13.13844551,80.03758766,Tamil Nadu
BSNL,Indoor,3G,3,Call Dropped,13.13822277,80.0375976,Tamil Nadu
BSNL,Indoor,3G,4,Satisfactory,13.13890384,80.03752156,Tamil Nadu
BSNL,Indoor,3G,4,Satisfactory,13.13828974,80.037525,Tamil Nadu
BSNL,Indoor,3G,4,Satisfactory,13.13828974,80.037525,Tamil Nadu
RJio,Outdoor,4G,5,Satisfactory,-1,-1,NA
Idea,Outdoor,4G,4,Satisfactory,-1,-1,NA
Vodafone,Indoor,3G,1,Poor Voice Quality,19.2837455,72.86981849,Maharashtra
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,22.67136674,88.33674322,West Bengal
Airtel,Indoor,Unknown,4,Satisfactory,13.93690911,75.5483377,Karnataka
Vodafone,Indoor,3G,4,Satisfactory,12.94048879,79.16886511,Tamil Nadu
Vodafone,Indoor,Unknown,1,Poor Voice Quality,12.30649401,76.60716067,Karnataka
Airtel,Indoor,4G,2,Poor Voice Quality,26.1376082,89.460595,West Bengal
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,23.81469333,86.45095833,Jharkhand
Airtel,Indoor,4G,1,Call Dropped,-1,-1,NA
Airtel,Outdoor,4G,5,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,5,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,5,Satisfactory,-1,-1,NA
Airtel,Outdoor,Unknown,5,Satisfactory,-1,-1,NA
Airtel,Indoor,Unknown,1,Poor Voice Quality,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,22.86848795,88.34818723,West Bengal
Vodafone,Indoor,3G,1,Poor Voice Quality,19.28311576,72.86940338,Maharashtra
Vodafone,Indoor,4G,1,Poor Voice Quality,19.28311576,72.86940338,Maharashtra
Airtel,Indoor,Unknown,3,Call Dropped,22.6742953,75.8257228,Madhya Pradesh
RJio,Indoor,4G,4,Satisfactory,22.480675,88.4057439,West Bengal
Airtel,Indoor,2G,4,Satisfactory,13.93641778,75.54834191,Karnataka
RJio,Outdoor,4G,1,Poor Voice Quality,20.91324496,70.36494796,Gujarat
Vodafone,Indoor,4G,5,Satisfactory,22.6951353,88.3981178,West Bengal
Vodafone,Indoor,2G,5,Satisfactory,22.6951353,88.3981178,West Bengal
BSNL,Indoor,Unknown,4,Satisfactory,23.578585,87.17896167,West Bengal
Airtel,Indoor,2G,3,Poor Voice Quality,-1,-1,NA
Vodafone,Indoor,4G,5,Satisfactory,22.6951353,88.3981178,West Bengal
Vodafone,Indoor,2G,5,Satisfactory,22.6951353,88.3981178,West Bengal
Vodafone,Indoor,2G,5,Satisfactory,22.6957016,88.3979246,West Bengal
Vodafone,Indoor,Unknown,1,Call Dropped,26.7894364,80.8974054,Uttar Pradesh
RJio,Indoor,4G,5,Satisfactory,19.87246,75.540555,Maharashtra
RJio,Outdoor,4G,3,Poor Voice Quality,18.6073091,73.7896824,Maharashtra
BSNL,Indoor,3G,1,Poor Voice Quality,-1,-1,NA
Airtel,Outdoor,4G,3,Poor Voice Quality,12.9910208,74.8412737,Karnataka
Idea,Outdoor,4G,1,Call Dropped,-1,-1,NA
Vodafone,Indoor,Unknown,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,5,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,5,Satisfactory,-1,-1,NA
BSNL,Indoor,Unknown,5,Satisfactory,17.81862835,83.38211184,Andhra Pradesh
BSNL,Indoor,Unknown,5,Satisfactory,17.81862835,83.38211184,Andhra Pradesh
BSNL,Indoor,Unknown,5,Satisfactory,17.81862835,83.38211184,Andhra Pradesh
BSNL,Indoor,Unknown,4,Satisfactory,23.57861,87.178715,West Bengal
BSNL,Indoor,Unknown,3,Satisfactory,23.578585,87.17896167,West Bengal
BSNL,Indoor,Unknown,4,Satisfactory,23.578585,87.17896167,West Bengal
Airtel,Indoor,4G,5,Satisfactory,13.11307528,80.23415705,Tamil Nadu
Airtel,Indoor,Unknown,4,Satisfactory,13.93675534,75.54837528,Karnataka
Airtel,Indoor,3G,1,Poor Voice Quality,16.40698291,81.78816502,Andhra Pradesh
Airtel,Indoor,4G,5,Satisfactory,-1,-1,NA
